interaction_id,task_type,timestamp,prompt_length,ai_response_length,edit_distance,acceptance,override,time_to_edit,ai_quality
80,creative,80,72,198,35,1,0,105,3
81,technical,81,105,220,45,1,0,120,3
82,coding,82,40,160,100,0,1,310,2
83,argumentative,83,115,215,65,0,1,230,4
84,reflective,84,86,142,12,1,0,44,5
85,analytical,85,158,275,130,0,1,375,4
86,creative,86,66,190,15,1,0,50,5
87,technical,87,94,200,25,1,0,75,4
88,coding,88,45,168,8,1,0,27,5
89,argumentative,89,122,240,95,0,1,300,3
90,reflective,90,90,148,30,1,0,90,3
91,technical,91,110,230,60,1,0,150,4
92,coding,92,39,155,115,0,1,350,2
93,analytical,93,165,295,70,1,0,190,5
94,creative,94,58,180,20,1,0,65,4
95,argumentative,95,118,225,85,0,1,260,4
96,technical,96,102,210,12,1,0,40,5
97,coding,97,44,165,75,0,1,230,3
98,reflective,98,88,145,18,1,0,55,4
99,analytical,99,170,300,140,0,1,390,4
100,creative,100,75,205,25,1,0,85,4
101,technical,101,95,205,30,1,0,85,4
102,coding,102,43,170,5,1,0,25,5
103,analytical,103,150,275,90,0,1,320,4
104,creative,104,62,195,22,1,0,75,4
105,argumentative,105,120,235,80,0,1,270,4
106,reflective,106,85,150,18,1,0,60,4
107,technical,107,110,225,0,1,0,15,5
108,coding,108,47,165,105,0,1,340,2
109,analytical,109,160,285,55,1,0,170,5
110,creative,110,70,200,35,1,0,100,3
111,argumentative,111,125,240,95,0,1,310,3
112,technical,112,90,210,40,1,0,110,3
113,coding,113,41,160,120,0,1,360,2
114,reflective,114,92,148,12,1,0,45,5
115,analytical,115,170,295,130,0,1,380,4
116,creative,116,68,190,15,1,0,50,5
117,technical,117,100,215,28,1,0,80,4
118,coding,118,38,150,65,0,1,220,3
119,argumentative,119,115,225,50,1,0,140,3
120,reflective,120,80,140,20,1,0,65,4
121,technical,121,105,220,35,1,0,95,4
122,coding,122,45,168,8,1,0,28,5
123,analytical,123,155,280,100,0,1,330,4
124,creative,124,60,205,25,1,0,85,4
125,argumentative,125,130,250,85,0,1,290,4
126,technical,126,88,210,10,1,0,30,5
127,coding,127,52,175,75,0,1,240,3
128,reflective,128,97,150,18,1,0,55,4
129,analytical,129,145,265,60,1,0,165,5
130,creative,130,72,198,30,1,0,95,3
131,technical,131,110,230,50,1,0,130,3
132,coding,132,39,155,115,0,1,350,2
133,argumentative,133,118,235,70,0,1,260,4
134,reflective,134,85,145,15,1,0,50,5
135,analytical,135,168,290,140,0,1,395,4
136,creative,136,66,185,12,1,0,42,5
137,technical,137,95,200,22,1,0,70,4
138,coding,138,44,165,6,1,0,22,5
139,argumentative,139,122,245,90,0,1,300,3
140,reflective,140,89,148,25,1,0,85,3
141,technical,141,115,240,65,1,0,155,4
142,coding,142,40,160,100,0,1,315,2
143,analytical,143,175,305,75,1,0,200,5
144,creative,144,58,180,18,1,0,60,4
145,argumentative,145,128,250,85,0,1,270,4
146,technical,146,102,210,15,1,0,45,5
147,coding,147,48,170,70,0,1,225,3
148,reflective,148,90,145,20,1,0,58,4
149,analytical,149,180,310,150,0,1,410,4
150,creative,150,75,205,28,1,0,90,4
151,technical,151,100,220,35,1,0,100,4
152,coding,152,42,165,10,1,0,30,5
153,analytical,153,160,285,95,0,1,320,4
154,creative,154,63,195,22,1,0,70,4
155,argumentative,155,120,235,80,0,1,260,4
156,reflective,156,84,150,16,1,0,55,4
157,technical,157,108,225,5,1,0,20,5
158,coding,158,46,170,110,0,1,345,2
159,analytical,159,170,300,60,1,0,180,5
160,creative,160,72,205,30,1,0,95,3
161,argumentative,161,125,245,90,0,1,295,3
162,technical,162,92,210,45,1,0,115,3
163,coding,163,39,160,120,0,1,360,2
164,reflective,164,95,150,18,1,0,60,5
165,analytical,165,175,305,135,0,1,400,4
166,creative,166,67,190,12,1,0,40,5
167,technical,167,100,215,28,1,0,75,4
168,coding,168,41,155,70,0,1,230,3
169,argumentative,169,118,235,55,1,0,145,3
170,reflective,170,82,140,20,1,0,60,4
171,technical,171,110,230,38,1,0,100,4
172,coding,172,45,170,8,1,0,25,5
173,analytical,173,165,295,105,0,1,335,4
174,creative,174,60,200,25,1,0,80,4
175,argumentative,175,130,255,85,0,1,290,4
176,technical,176,90,210,12,1,0,35,5
177,coding,177,50,175,75,0,1,240,3
178,reflective,178,96,150,18,1,0,55,4
179,analytical,179,180,315,70,1,0,195,5
180,creative,180,70,205,28,1,0,90,3
181,technical,181,105,220,50,1,0,130,3
182,coding,182,40,160,115,0,1,350,2
183,argumentative,183,120,245,80,0,1,270,4
184,reflective,184,85,145,14,1,0,48,5
185,analytical,185,175,305,145,0,1,405,4
186,creative,186,66,185,12,1,0,42,5
187,technical,187,98,210,25,1,0,70,4
188,coding,188,44,168,6,1,0,22,5
189,argumentative,189,125,250,95,0,1,305,3
190,reflective,190,88,148,30,1,0,90,3
191,technical,191,115,240,65,1,0,155,4
192,coding,192,42,160,110,0,1,345,2
193,analytical,193,185,320,80,1,0,210,5
194,creative,194,58,180,20,1,0,65,4
195,argumentative,195,130,260,85,0,1,290,4
196,technical,196,102,215,15,1,0,45,5
197,coding,197,48,170,70,0,1,230,3
198,reflective,198,90,145,18,1,0,55,4
199,analytical,199,190,325,155,0,1,420,4
200,creative,200,75,210,25,1,0,85,4
